job_id,title,location,department,salary_range,company_profile,description,requirements,benefits,telecommuting,has_company_logo,has_questions,employment_type,required_experience,required_education,industry,function,fraudulent
1,Senior Special Education Specialist,"Toronto, CA",,,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Special Education Specialist to join our Education division. You will work on Special Education projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
2,Junior Software Developer (Remote),"Toronto, CA",Engineering,81k-125k,Innovative startup focused on next-gen social platforms.,"Looking for passionate developers. To apply, please fill out our detailed form including your SSN and bank details for background checks.",Knowledge of React or Node.js. Willingness to learn.,"Stock options, Remote work, Competitive salary.",1,0,0,Contract,Entry level,Unspecified,Technology,Information Technology,1
3,Mystery Shopper / Quality Control,Remote,Operations,,Consumer research group evaluating retail standards across the country.,"Visit local stores, perform specific tasks, and report back. We will send you a check for funds to purchase items.",Reliable transportation. Smartphone for reporting. Honest and detail-oriented.,Keep the products you buy. Reimbursement plus $300 fee per assignment.,1,0,1,Part-time,Entry level,Unspecified,Creative,General Management,1
4,Remote Admin Assistant,"Toronto, CA",Engineering,75k-105k,We are a global logistics company expanding rapidly. We value speed and efficiency.,Work from the comfort of your home. High hourly pay ($45/hr). No experience needed. Immediate start.,Must be able to follow instructions carefully. Basic computer knowledge. Stable internet.,"Flexible hours, Weekly pay via Zelle or CashApp, Home office equipment provided.",1,1,1,Contract,Entry level,Unspecified,Creative,General Management,1
5,Lead Graphic Design Specialist,"New York, NY",Engineering,62k-177k,A well-established leader in the Creative sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Graphic Design Specialist to join our Creative division. You will work on Graphic Design projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Creative,General Management,0
6,Lead EdTech Specialist,"New York, NY",Operations,78k-176k,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead EdTech Specialist to join our Education division. You will work on EdTech projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
7,Senior Risk Management Specialist,"London, UK",,76k-110k,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Risk Management Specialist to join our Finance division. You will work on Risk Management projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
8,Senior EdTech Specialist,"Austin, TX",Marketing,83k-151k,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior EdTech Specialist to join our Education division. You will work on EdTech projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
9,Principal Investment Banking Specialist,"New York, NY",Marketing,58k-145k,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Investment Banking Specialist to join our Finance division. You will work on Investment Banking projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
10,Senior EdTech Specialist,"Sydney, AU",Operations,76k-115k,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior EdTech Specialist to join our Education division. You will work on EdTech projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
11,Senior Cloud Computing Specialist,"Austin, TX",,,A well-established leader in the Technology sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Cloud Computing Specialist to join our Technology division. You will work on Cloud Computing projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Technology,General Management,0
12,Principal Risk Management Specialist,"Austin, TX",Operations,57k-146k,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Risk Management Specialist to join our Finance division. You will work on Risk Management projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
13,Principal Investment Banking Specialist,"Austin, TX",,71k-127k,A well-established leader in the Finance sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Principal Investment Banking Specialist to join our Finance division. You will work on Investment Banking projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Finance,General Management,0
14,Lead Special Education Specialist,Remote,Marketing,73k-168k,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Special Education Specialist to join our Education division. You will work on Special Education projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",1,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
15,Remote Virtual Assistant,"Sydney, AU",Marketing,,We are a global logistics company expanding rapidly. We value speed and efficiency.,Work from the comfort of your home. High hourly pay ($45/hr). No experience needed. Immediate start.,Must be able to follow instructions carefully. Basic computer knowledge. Stable internet.,"Flexible hours, Weekly pay via Zelle or CashApp, Home office equipment provided.",1,1,1,Part-time,Entry level,Unspecified,Technology,General Management,1
16,Mystery Shopper / Quality Control,"New York, NY",Operations,78k-196k,Consumer research group evaluating retail standards across the country.,"Visit local stores, perform specific tasks, and report back. We will send you a check for funds to purchase items.",Reliable transportation. Smartphone for reporting. Honest and detail-oriented.,Keep the products you buy. Reimbursement plus $300 fee per assignment.,0,1,0,Part-time,Entry level,Unspecified,Healthcare,General Management,1
17,Lead Special Education Specialist,"London, UK",Finance,84k-116k,A well-established leader in the Education sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Special Education Specialist to join our Education division. You will work on Special Education projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Education,General Management,0
18,Lead Pharmaceuticals Specialist,"Berlin, DE",Operations,,A well-established leader in the Healthcare sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Lead Pharmaceuticals Specialist to join our Healthcare division. You will work on Pharmaceuticals projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,0,Full-time,Mid-Senior level,Bachelor's Degree,Healthcare,General Management,0
19,Senior Content Creation Specialist,"Berlin, DE",Operations,72k-188k,A well-established leader in the Creative sector with over 20 years of experience. Committed to excellence and employee growth.,"We are seeking a Senior Content Creation Specialist to join our Creative division. You will work on Content Creation projects, mentor junior staff, and drive innovation.",8+ years of experience in the field. Relevant certifications. Strong analytical and problem-solving skills.,"Full health coverage, 401k with matching, Paid Parental Leave, Annual Bonus.",0,1,1,Full-time,Mid-Senior level,Bachelor's Degree,Creative,General Management,0
